time (yyyy),x
1970,1361.4117
1971,1361.2392
1972,1361.1948
1973,1361.066
1974,1360.9792
1975,1360.9566
1976,1360.944
1977,1361.05
1978,1361.2295
1979,1361.7566
1980,1361.6909
1981,1361.7126
1982,1361.4217
1983,1361.3923
1984,1360.9775
1985,1360.8359
1986,1360.8877
1987,1360.9677
1988,1361.284
1989,1361.7357
1990,1361.6844
1991,1361.5875
1992,1361.5255
1993,1361.3081
1994,1361.1154
1995,1361.02
1996,1360.9005
1997,1361.0787
1998,1361.4702
1999,1361.7339
2000,1361.9522
2001,1361.9009
2002,1361.9725
2003,1361.4971
2004,1361.296
2005,1361.1431
2006,1361.1004
2007,1361.0004
2008,1360.9794
2009,1360.9856
2010,1361.2296
2011,1361.464
2012,1361.592
2013,1361.6117
2014,1361.5882
2015,1361.7017
2016,1361.3384
2017,1361.2147
2018,1361.256
