,OPTIMIZER,learning_rate,score
1,adamax.Adamax,1e-05,2155
2,adamax.Adamax,0.01011090909090909,575
3,adamax.Adamax,0.02021181818181818,1751
4,adamax.Adamax,0.030312727272727272,12559
5,adamax.Adamax,0.04041363636363637,737
6,adamax.Adamax,0.05051454545454546,785
7,adamax.Adamax,0.06061545454545455,890
8,adamax.Adamax,0.07071636363636363,530
9,adamax.Adamax,0.08081727272727272,4236376
10,adamax.Adamax,0.09091818181818181,581
11,adamax.Adamax,0.1010190909090909,3222
12,adamax.Adamax,0.11112,40902
13,adamax.Adamax,0.12122090909090909,3791998
14,adamax.Adamax,0.1313218181818182,639
15,adamax.Adamax,0.14142272727272728,507
16,adamax.Adamax,0.15152363636363636,301
17,adamax.Adamax,0.16162454545454547,4403686
18,adamax.Adamax,0.17172545454545457,705
19,adamax.Adamax,0.18182636363636365,731
20,adamax.Adamax,0.19192727272727272,547
21,adamax.Adamax,0.20202818181818183,552
22,adamax.Adamax,0.21212909090909093,600
23,adamax.Adamax,0.22223,674
24,adamax.Adamax,0.2323309090909091,528
25,adamax.Adamax,0.2424318181818182,655
26,adamax.Adamax,0.2525327272727273,735
27,adamax.Adamax,0.2626336363636364,447
28,adamax.Adamax,0.27273454545454545,2201416
29,adamax.Adamax,0.28283545454545456,211798
30,adamax.Adamax,0.29293636363636366,534
31,adamax.Adamax,0.3030372727272727,2280195
32,adamax.Adamax,0.3131381818181818,477
33,adamax.Adamax,0.3232390909090909,1289
34,adamax.Adamax,0.33334,478
35,adamax.Adamax,0.34344090909090913,4323822
36,adamax.Adamax,0.3535418181818182,482
37,adamax.Adamax,0.3636427272727273,938
38,adamax.Adamax,0.3737436363636364,2265
39,adamax.Adamax,0.38384454545454544,895
40,adamax.Adamax,0.39394545454545454,948
41,adamax.Adamax,0.40404636363636365,1944
42,adamax.Adamax,0.41414727272727275,19210
43,adamax.Adamax,0.42424818181818186,860
44,adamax.Adamax,0.4343490909090909,1377
45,adamax.Adamax,0.44445,1034
46,adamax.Adamax,0.4545509090909091,769
47,adamax.Adamax,0.46465181818181817,13817
48,adamax.Adamax,0.47475272727272727,1467
49,adamax.Adamax,0.4848536363636364,1333425
50,adamax.Adamax,0.4949545454545455,2876
51,adamax.Adamax,0.5050554545454545,163764
52,adamax.Adamax,0.5151563636363636,423
53,adamax.Adamax,0.5252572727272727,6307
54,adamax.Adamax,0.5353581818181817,1119
55,adamax.Adamax,0.5454590909090908,5929
56,adamax.Adamax,0.5555599999999999,4142784
57,adamax.Adamax,0.565660909090909,634
58,adamax.Adamax,0.5757618181818182,19215
59,adamax.Adamax,0.5858627272727273,669
60,adamax.Adamax,0.5959636363636364,4178113
61,adamax.Adamax,0.6060645454545454,628
62,adamax.Adamax,0.6161654545454545,1318
63,adamax.Adamax,0.6262663636363636,621
64,adamax.Adamax,0.6363672727272727,513
65,adamax.Adamax,0.6464681818181818,4369035
66,adamax.Adamax,0.6565690909090909,675
67,adamax.Adamax,0.66667,519
68,adamax.Adamax,0.6767709090909091,3308215
69,adamax.Adamax,0.6868718181818182,738
70,adamax.Adamax,0.6969727272727272,3667
71,adamax.Adamax,0.7070736363636363,3613880
72,adamax.Adamax,0.7171745454545454,485
73,adamax.Adamax,0.7272754545454545,902
74,adamax.Adamax,0.7373763636363636,511
75,adamax.Adamax,0.7474772727272727,2146
76,adamax.Adamax,0.7575781818181818,4209235
77,adamax.Adamax,0.7676790909090908,659
78,adamax.Adamax,0.7777799999999999,577
79,adamax.Adamax,0.787880909090909,1212
80,adamax.Adamax,0.7979818181818181,1644
81,adamax.Adamax,0.8080827272727272,4454326
82,adamax.Adamax,0.8181836363636363,802
83,adamax.Adamax,0.8282845454545454,484
84,adamax.Adamax,0.8383854545454545,138448
85,adamax.Adamax,0.8484863636363636,4239340
86,adamax.Adamax,0.8585872727272726,2325
87,adamax.Adamax,0.8686881818181817,764
88,adamax.Adamax,0.8787890909090909,528
89,adamax.Adamax,0.88889,610
90,adamax.Adamax,0.8989909090909091,3435
91,adamax.Adamax,0.9090918181818182,804
92,adamax.Adamax,0.9191927272727273,4324416
93,adamax.Adamax,0.9292936363636363,4375480
94,adamax.Adamax,0.9393945454545454,4376514
95,adamax.Adamax,0.9494954545454545,986
96,adamax.Adamax,0.9595963636363636,694
97,adamax.Adamax,0.9696972727272727,378
98,adamax.Adamax,0.9797981818181818,1185
99,adamax.Adamax,0.9898990909090909,13615
100,adamax.Adamax,1.0,807
101,elta.Adadelta,1e-05,857
102,elta.Adadelta,0.01011090909090909,4291763
103,elta.Adadelta,0.02021181818181818,809
104,elta.Adadelta,0.030312727272727272,3784130
105,elta.Adadelta,0.04041363636363637,1197
106,elta.Adadelta,0.05051454545454546,505
107,elta.Adadelta,0.06061545454545455,3556464
108,elta.Adadelta,0.07071636363636363,552
109,elta.Adadelta,0.08081727272727272,717
110,elta.Adadelta,0.09091818181818181,796
111,elta.Adadelta,0.1010190909090909,556
112,elta.Adadelta,0.11112,582
113,elta.Adadelta,0.12122090909090909,633
114,elta.Adadelta,0.1313218181818182,33057
