,learning_rate,score
1,0.001,98023.23770057087
2,0.01099,98022.85081385223
3,0.020980000000000002,98024.46164686848
4,0.030970000000000004,98021.65945771094
5,0.04096,98027.21787177234
6,0.05095,98025.5533666868
7,0.06094000000000001,98023.00992517808
8,0.07093,98028.87741300471
9,0.08092,98024.13322563653
10,0.09091,98028.38765496528
11,0.1009,98022.05198689073
12,0.11089,98024.14062422543
13,0.12088000000000002,98024.00096876748
14,0.13087000000000001,98026.44281780982
15,0.14086,98024.727986281
16,0.15085,98023.88294013965
17,0.16084,98024.15006753056
18,0.17083,98032.68153461299
19,0.18082,98021.4638788409
20,0.19081,98024.58437745336
21,0.2008,98023.50608862175
22,0.21079,98021.33545805338
23,0.22078,98025.26467122519
24,0.23077,98021.3108883617
25,0.24076000000000003,98021.53751933081
26,0.25075000000000003,98027.63199427695
27,0.26074,98018.87185167159
28,0.27073,98023.1945358912
29,0.29071,98006.37215392785
30,0.3007,98022.9933685992
31,0.31069,98023.84343297727
32,0.32068,98004.34882280692
33,0.33067,98024.21306774027
34,0.34066,98024.92597111745
35,0.35065,98029.03497741382
36,0.36064,98024.6955365001
37,0.37063,98023.26733449724
38,0.38062,98024.74544656485
39,0.39061,98025.06552949558
40,0.4006,98018.99034600258
41,0.41059,98023.93775485568
42,0.42058,98033.92502425674
43,0.43057,98024.54899356647
44,0.44056,98028.21925328093
45,0.45055,98022.90492434813
46,0.46054,98019.82022809389
47,0.47053,98017.10314418259
48,0.48052000000000006,98024.62612478723
49,0.49051000000000006,98023.33549578745
50,0.5005000000000001,98024.262177593
51,0.51049,98027.21834264643
52,0.52048,98026.53578617008
53,0.53047,98033.16598791024
54,0.54046,98025.35990159192
55,0.55045,98030.96762496664
56,0.56044,98026.04568775943
57,0.57043,98024.74719922808
58,0.58042,98026.68711572599
59,0.59041,98023.94247871326
60,0.6004,97966.16048869802
61,0.61039,98017.72624889069
62,0.62038,98023.79348503295
63,0.63037,98024.36629880487
64,0.64036,98020.84229758909
65,0.66034,98027.64435102518
66,0.68032,98023.36314400991
67,0.6903100000000001,98024.7369400619
68,0.7102900000000001,98023.55946867933
69,0.72028,98032.22032611321
70,0.74026,98023.43379625324
71,0.7502500000000001,98021.34832211312
72,0.76024,98034.00872398914
73,0.7702300000000001,98028.48074404107
74,0.78022,98026.20122500381
75,0.7902100000000001,98019.49953597649
76,0.84016,98259.23263580578
77,0.8501500000000001,98026.04216880462
78,0.86014,98026.70190643964
79,0.8901100000000001,98023.76894519124
80,0.9100900000000001,98025.01446708183
81,0.94006,98036.49984225065
82,0.9700300000000001,98026.06177793814
83,0.9800200000000001,98024.64563942721
84,1.0,98021.55172711416
